external_gene_name	target_id	pval	qval	b	se_b	mean_obs	var_obs	tech_var	sigma_sq	smooth_sigma_sq	final_sigma_sq	description
Cav2	ENSMUST00000000058.7	0.0038410920968805	0.00808024324058092	-0.862022462028114	0.298182181808116	4.08166542370294	4.55317997387675	0.0129229843358621	-0.00353467801649727	0.12044593598591	0.12044593598591	caveolin 2 [Source:MGI Symbol;Acc:MGI:107571]
Cox5a	ENSMUST00000000090.8	1.00209298645795e-09	4.30469230932858e-09	0.393330609256138	0.0643846267393462	6.55023658714174	0.50122662289452	0.00410603244636444	-0.000509964451970717	0.00211203779418296	0.00211203779418296	cytochrome c oxidase subunit 5A [Source:MGI Symbol;Acc:MGI:88474]
Cntn1	ENSMUST00000000109.11	4.87149450522408e-11	2.31701731331108e-10	-7.48722150769102	1.1387736153889	2.80895821719288	11.6963012653889	1.15908441730098	0.786123603357874	0.183770412661179	0.786123603357874	contactin 1 [Source:MGI Symbol;Acc:MGI:105980]
Gna12	ENSMUST00000000153.9	6.33772719898466e-06	1.93180127861795e-05	-0.33956435080436	0.075211423080426	6.1628924106815	0.0899046352166148	0.00412933168888983	-0.00249446604566876	0.00435580555378444	0.00435580555378444	guanine nucleotide binding protein, alpha 12 [Source:MGI Symbol;Acc:MGI:95767]
Sdhd	ENSMUST00000000175.6	1.58065008194613e-15	1.03116440783487e-14	0.348580219385765	0.043733930259129	6.98804753964773	0.0816282204940442	0.00195602649432781	-0.00121689970971319	0.000912958489537723	0.000912958489537723	succinate dehydrogenase complex, subunit D, integral membrane protein [Source:MGI Symbol;Acc:MGI:1914175]
Ccnd2	ENSMUST00000000188.12	5.85061615951946e-05	0.00016113114280639	2.96206482448491	0.737060088577067	2.20008086668085	3.77644796037096	0.156064059231377	0.658822302028474	0.170224888421513	0.658822302028474	cyclin D2 [Source:MGI Symbol;Acc:MGI:88314]
Ccl2	ENSMUST00000000193.6	2.51722286659895e-10	1.13437189042868e-09	2.63609140062009	0.416712491650124	1.60955359633617	3.10647374952629	0.105889674913306	0.154584276132576	0.13824606073812	0.154584276132576	chemokine (C-C motif) ligand 2 [Source:MGI Symbol;Acc:MGI:98259]
Ncs1	ENSMUST00000000199.8	0.000137419274957834	0.000360661150495393	-0.544331819034737	0.142765535639977	5.84854236994572	0.836098620914829	0.022895379366723	-0.0183848158060778	0.0076776178831315	0.0076776178831315	neuronal calcium sensor 1 [Source:MGI Symbol;Acc:MGI:109166]
Mnt	ENSMUST00000000291.9	0.000509656805825371	0.00123217306717425	-0.763944672778082	0.219800407999452	4.98015736274586	1.08812319486979	0.034090466648816	0.00536021366937769	0.0383778623862726	0.0383778623862726	max binding protein [Source:MGI Symbol;Acc:MGI:109150]
Hddc2	ENSMUST00000000304.14	9.05722838096585e-05	0.000243615601586819	0.21252210565599	0.0542902777221161	6.56013927168171	0.141559973849705	0.00234845334692743	-0.000302885645369151	0.00207269803578933	0.00207269803578933	HD domain containing 2 [Source:MGI Symbol;Acc:MGI:1916942]
